Accepted_name,status,Native_L1,Native_L2,Native_L3,Native_L4,Established_L1,Established_L2,Established_L3,Established_L4,Invasive_L1,Invasive_L2,Invasive_L3,Invasive_L4
Trifolium retusum,established,"2,1,3","20,11,13,12,34,14,33","ALG,AUT,BUL,CZE,FRA,GRC,HUN,IRQ,KRY,MOR,NCS,POR,ROM,RUS,SPA,TCS,TUR,TUE,UKR,YUG",",AUT-AU,FRA-FR,MOR-MO,SPA-SP,UKR-UK","5,7","51,76,73","5,CAL,ORE,NZS","000-05,CAL-OO,ORE-OO,NZS-OO","","","",""
Trifolium rubens,established,1,"13,11,14,12","ALB,AUT,BLT,BLR,BUL,CZE,FRA,GER,HUN,ITA,POL,ROM,SPA,SWI,UKR,YUG",",AUT-AU,FRA-FR,ITA-IT,SPA-SP,UKR-UK","5,1","50,13","SOA,BUL","SOA-OO,BUL-OO","","","",""
Trifolium scabrum,established,"1,2,3","13,20,21,12,11,34,10,14,33,32","ALB,ALG,AZO,BAL,BGM,BUL,CNY,COR,CYP,EAI,EGY,FRA,GER,GRB,GRC,IRN,IRQ,IRE,ITA,KRI,KRY,LBS,LBY,MDR,MOR,NET,NCS,PAL,POR,ROM,SAR,SIC,SPA,SWI,TCS,TUN,TUR,TUE,TKM,YUG",",BGM-BE,FRA-FR,IRE-IR,ITA-IT,MOR-MO,SIC-SI,SPA-SP","5,7,2","50,51,75,21","NSW,SOA,TAS,VIC,WAU,5,NWJ,AZO,NZN","NSW-NS,SOA-OO,TAS-OO,VIC-OO,WAU-WA,000-05,NWJ-OO,AZO-OO,NZN-OO","","","",""
Trifolium spadiceum,established,"1,3","11,14,13,10,12,34,32,33,30","AUT,BLT,BLR,BUL,RUC,CZE,RUE,FIN,FRA,GER,GRC,IRN,ITA,KAZ,NCS,RUN,RUW,NOR,POL,ROM,RUS,SPA,SWE,SWI,TCS,TUR,UKR,WSB,YUG",",AUT-AU,FRA-FR,ITA-IT,SPA-SP,UKR-UK","8,1,3","85,10,31,30","AGS,NOR,KHA,IRK,BRY,SWE","AGS-TF,NOR-OO,KHA-OO,IRK-OO,BRY-OO,SWE-OO","","","",""
Trifolium spumosum,established,"2,1,3","20,12,13,21,34,33","ALG,BAL,BUL,CNY,COR,CYP,EAI,FRA,GRC,IRN,IRQ,ITA,KRI,LBS,MOR,NCS,PAL,POR,SAR,SIC,SPA,TCS,TUN,TUR,TUE",",FRA-FR,ITA-IT,MOR-MO,SIC-SI,SPA-SP","5,7","50,78","WAU,FLA","WAU-WA,FLA-OO","","","",""
Trifolium squamosum,established,"1,2,3","13,20,21,12,34,10,14,33","ALB,ALG,AZO,BAL,BUL,CNY,COR,EAI,FRA,GRB,GRC,IRN,ITA,KRI,KRY,LBS,LBY,MDR,MOR,POR,SAR,SIC,SPA,TCS,TUN,TUR,TUE,YUG",",FRA-FR,ITA-IT,MOR-MO,SIC-SI,SPA-SP","5,7,2,8","50,75,21,85","SOA,TAS,VIC,NWJ,NWY,PEN,AZO,URU","SOA-OO,TAS-OO,VIC-OO,NWJ-OO,NWY-OO,PEN-OO,AZO-OO,URU-OO","","","",""
Trifolium squarrosum,established,"1,2,3","13,20,21,12,34,22","ALB,ALG,BUL,CNY,COR,FRA,GRC,ITA,LBS,MDR,MTN,MOR,POR,SAR,SIC,SPA,TUN,TUE,YUG",",FRA-FR,ITA-IT,MOR-MO,SIC-SI,SPA-SP",2,21,AZO,AZO-OO,"","","",""
Trifolium stellatum,established,"1,2,3","13,20,12,21,34,33","ALB,ALG,BAL,CNY,COR,CYP,EAI,EGY,FRA,GRC,IRN,IRQ,ITA,KRI,LBS,LBY,MDR,MOR,NCS,PAL,POR,SAR,SIC,SPA,TUN,TUR,TUE,YUG",",FRA-FR,ITA-IT,MOR-MO,SIC-SI,SPA-SP","5,1,7","50,10,76","SOA,TAS,VIC,WAU,GRB,CAL","SOA-OO,TAS-OO,VIC-OO,WAU-WA,GRB-OO,CAL-OO","","","",""
Trifolium striatum,established,"1,2,3","13,20,11,12,21,34,10,14,33","ALB,ALG,AUT,BAL,BGM,BUL,CNY,COR,CYP,CZE,DEN,FRA,GER,GRB,GRC,HUN,IRN,IRQ,IRE,ITA,KRY,MDR,MOR,NET,NCS,POL,POR,ROM,SAR,SIC,SPA,SWE,SWI,TCS,TUN,TUE,UKR,YUG",",AUT-AU,BGM-BE,FRA-FR,IRE-IR,ITA-IT,MOR-MO,SIC-SI,SPA-SP,UKR-UK","5,1,7,8,3,2","50,14,71,85,38,51,78,76,75,74,73,21","NSW,SOA,TAS,VIC,WAU,BLR,BRC,CLC,4,5,ALA,ARK,CAL,GEO,MAS,NCA,NWJ,NWY,OKL,ORE,PEN,SCA,VRG,VER,AZO,NZN,NZS","NSW-NS,SOA-OO,TAS-OO,VIC-OO,WAU-WA,BLR-OO,BRC-OO,CLC-OH,CLC-LA,CLC-BI,CLC-SA,000-04,000-05,ALA-OO,ARK-OO,CAL-OO,GEO-OO,MAS-OO,NCA-OO,NWJ-OO,NWY-OO,OKL-OO,ORE-OO,PEN-OO,SCA-OO,VRG-OO,VER-OO,AZO-OO,NZN-OO,NZS-OO","","","",""
Trifolium strictum,established,"1,2,3","13,20,12,11,10,34","ALB,ALG,BUL,COR,CZE,FRA,GRB,GRC,HUN,ITA,LBY,MOR,POR,ROM,SAR,SIC,SPA,TUN,TUR,TUE",",FRA-FR,ITA-IT,MOR-MO,SIC-SI,SPA-SP",5,50,SOA,SOA-OO,"","","",""
Trifolium subterraneum,invasive,"1,2,3","13,20,21,12,11,34,10,14,33","ALB,ALG,AZO,BAL,BGM,BUL,CNY,COR,EAI,FRA,GRB,GRC,HUN,IRN,IRQ,IRE,ITA,KRI,KRY,LBS,LBY,MDR,MOR,NET,NCS,PAL,POR,ROM,SAR,SIC,SPA,TCS,TUN,TUR,TUE,UKR,YUG",",BGM-BE,FRA-FR,IRE-IR,ITA-IT,MOR-MO,SIC-SI,SPA-SP,UKR-UK","8,5,1,7,2,4,3,6","85,50,14,71,20,21,10,40,38,51,78,76,63,75,74,73,77,27,11","AGE,NSW,QLD,SOA,TAS,VIC,WAU,BLR,BRC,CLC,ALG,CNY,GRB,IND,4,5,CTM,ALA,ARK,CAL,FLA,GEO,HAW,LOU,MAS,MSI,NCA,NWJ,OKL,ORE,SCA,TEX,WAS,CPP,KER,AZO,NZN,NZS,GER","AGE-BA,NSW-NS,QLD-QU,SOA-OO,TAS-OO,VIC-OO,WAU-WA,BLR-OO,BRC-OO,CLC-MA,CLC-LA,ALG-OO,CNY-OO,GRB-OO,IND-TN,000-04,000-05,CTM-OO,ALA-OO,ARK-OO,CAL-OO,FLA-OO,GEO-OO,HAW-HI,LOU-OO,MAS-OO,MSI-OO,NCA-OO,NWJ-OO,OKL-OO,ORE-OO,SCA-OO,TEX-OO,WAS-OO,CPP-WC,KER-OO,AZO-OO,NZN-OO,NZS-OO,GER-OO",7,"","",""
Trifolium suffocatum,established,"1,2,3","13,20,21,12,34,10,33","ALB,ALG,AZO,BAL,BUL,CNY,COR,CYP,EAI,FRA,GRB,GRC,IRN,ITA,KRI,LBS,LBY,MDR,MOR,PAL,POR,ROM,SAR,SIC,SPA,TCS,TUN,TUR,TUE,YUG",",FRA-FR,ITA-IT,MOR-MO,SIC-SI,SPA-SP","5,8,2,1","50,85,21,10,51,27","NSW,SOA,TAS,VIC,WAU,CLC,CNY,GRB,5,CPP,AZO,NZN,NZS","NSW-NS,SOA-OO,TAS-OO,VIC-OO,WAU-WA,CLC-OH,CNY-OO,GRB-OO,000-05,CPP-WC,AZO-OO,NZN-OO,NZS-OO","","","",""
Trifolium tomentosum,established,"1,2,3","13,20,21,12,34,24,33","ALB,ALG,AZO,BAL,CNY,COR,CYP,EAI,EGY,FRA,GRC,IRN,IRQ,ITA,KRI,LBS,LBY,MDR,MOR,PAL,POR,SAR,SIC,SIN,SPA,SUD,TCS,TUN,TUR,TUE,YUG",",FRA-FR,ITA-IT,MOR-MO,SIC-SI,SPA-SP","5,8,4,3,7,2","50,85,40,38,51,76,78,75,73,27","NSW,QLD,SOA,TAS,VIC,WAU,CLC,IND,WHM,4,5,CAL,FLA,MAS,NCA,ORE,SCA,CPP,NZN,NZS","NSW-NS,QLD-QU,SOA-OO,TAS-OO,VIC-OO,WAU-WA,CLC-OH,CLC-BI,CLC-VA,IND-CH,IND-HA,WHM-HP,WHM-JK,IND-PU,IND-RA,WHM-UT,000-04,000-05,CAL-OO,FLA-OO,MAS-OO,NCA-OO,ORE-OO,SCA-OO,CPP-EC,CPP-WC,NZN-OO,NZS-OO","","","",""
Trifolium uniflorum,established,"3,1,2","34,13,20","EAI,GRC,ITA,KRI,LBY,SIC,TUR,TUE",",ITA-IT,SIC-SI",5,50,TAS,TAS-OO,"","","",""
Trifolium variegatum,established,7,"76,71,73,79","ARI,BRC,CAL,IDA,MXN,MNT,NEV,ORE,UTA,WAS","",7,70,ASK,ASK-OO,"","","",""
Trifolium vesiculosum,established,"1,3","13,12,11,14,34,33","ALB,BUL,COR,GRC,HUN,ITA,KRI,KRY,LBS,NCS,ROM,RUS,TUR,TUE,UKR,YUG",",ITA-IT,UKR-UK","5,3,7","50,38,78,76,74,73,77","NSW,SOA,VIC,WAU,4,ALA,ARK,CAL,FLA,GEO,LOU,MSI,OKL,ORE,SCA,TEN,TEX,VRG,WAS","NSW-NS,SOA-OO,VIC-OO,WAU-WA,000-04,ALA-OO,ARK-OO,CAL-OO,FLA-OO,GEO-OO,LOU-OO,MSI-OO,OKL-OO,ORE-OO,SCA-OO,TEN-OO,TEX-OO,VRG-OO,WAS-OO","","","",""
Trifolium willdenovii,established,7,"76,73,79","ARI,CAL,IDA,MXN,ORE,WAS","",3,38,4,000-04,"","","",""
Trifolium wormskioldii,established,7,"76,73,79,77","ARI,CAL,COL,MXC,MXG,MXE,MXN,MXS,NEV,NWM,ORE,TEX,UTA,WAS,WYO","",7,73,WYO,WYO-OO,"","","",""
Trigastrotheca pentaphylla,established,4,40,"IND,SRL","","5,8,2,4","50,84,23,43","QLD,BZN,CMN,29","QLD-QU,BZN-AM,CMN-OO,000-34","","","",""
Triglochin bulbosa,established,2,27,CPP,"",5,50,WAU,WAU-WA,"","","",""
Triglochin palustris,established,"3,7,1,2,8,4,5","34,70,13,71,20,30,31,85,76,11,14,83,36,73,10,40,12,74,75,38,32,72,37,77,51,33","AFG,ASK,ALB,ABT,ALU,ALG,ALT,AMU,AGE,AGW,AGS,ARI,AUT,BLT,BLR,BGM,BOL,BRC,BUL,BRY,CAL,RUC,CLC,CLN,CHN,CHC,CTA,COL,CZE,DEN,RUE,EHM,FIN,FRA,FOR,GER,GRB,GRC,GNL,HUN,ICE,IDA,ILL,INI,CHI,IOW,IRN,IRQ,IRE,IRK,ITA,JAP,KAM,KAZ,KHA,KGZ,KOR,KRA,KRY,KUR,LAB,MAG,MAI,CHM,MAN,MIC,MIN,,MON,MNT,MOR,NEB,NEP,NET,NEV,NBR,NWH,NWM,NWY,NZS,NFL,NCS,NDA,RUN,RUW,NWT,NOR,NSC,NUN,OHI,ONT,ORE,PAK,PAL,PEN,POL,PRM,PEI,CHQ,QUE,RHO,ROM,SAK,SAS,SDA,RUS,SPA,SWE,SWI,TZK,CHT,TCS,TUR,TKM,TVA,UKR,UTA,UZB,WAS,WHM,WSB,WIS,WYO,CHX,YAK,YUG,YUK",",AUT-AU,BGM-BE,FRA-FR,IRE-IR,ITA-IT,MOR-MO,NFL-NE,SPA-SP,UKR-UK",7,72,NSC,NSC-OO,"","","",""
Triglochin scilloides,established,"7,8","71,85,83,76,79,73","ABT,AGE,AGS,BOL,BRC,CAL,CLC,CLM,ECU,MXC,MXG,MXE,MXN,MXS,MNT,NEV,ORE,PER,SAS,WAS","","5,1","50,12","NSW,VIC,SPA,POR","NSW-NS,VIC-OO,SPA-SP,POR-OO","","","",""
Triglochin striata,established,"7,2,8,5,6","78,26,85,81,83,84,76,27,51,50,73,61,23","ALA,ANG,AGE,AGW,AGS,BAH,BOL,BZS,BZL,CAL,CPP,CTM,CLC,CLN,CUB,FLA,GEO,NAT,LOU,MSI,MOZ,NAM,NSW,NZN,NZS,NFK,NCA,ORE,PER,QLD,SOA,SCA,TAS,TUB,URU,VIC,VRG,WAU,ZAI",",NSW-NS,QLD-QU,WAU-WA","2,1","20,12","MOR,POR","MOR-MO,POR-OO","","","",""
Trigonella anguina,established,"2,3,4","20,21,27,34,35,22,40","ALG,CNY,CPP,EGY,OFS,IRN,IRQ,KUW,LBY,MLI,MTN,MOR,NAM,TVL,OMA,PAK,SAU,SIN,TUN,WSA,YEM",",MOR-MO",2,27,NAM,NAM-OO,"","","",""
Trigonella balansae,established,"3,1","34,13","EAI,GRC,KRI,TUR","","1,7","13,72,76,75","BUL,NBR,NSC,ONT,CAL,MAS,UTA","BUL-OO,NBR-OO,NSC-OO,ONT-OO,CAL-OO,MAS-OO,UTA-OO","","","",""
Trigonella caerulea,established,1,13,GRC,"","7,1,3","71,72,12,33,14,78,75","ABT,BRC,MAN,ONT,SAS,SPA,FRA,TCS,UKR,FLA,MRY,NWY","ABT-OO,BRC-OO,MAN-OO,ONT-OO,SAS-OO,SPA-SP,FRA-FR,TCS-GR,UKR-MO,UKR-UK,FLA-OO,MRY-OO,NWY-OO","","","",""
Trigonella foenum-graecum,established,"3,4","34,40","AFG,IRN,IRQ,PAK","","3,2,1,7","36,34,20,24,12,13,14,35,76,78,27,32","CHN,CHQ,CHT,CYP,ALG,EGY,ETH,FRA,SIC,LBY,MOR,UKR,SAU,TUN,CAL,MRY,TVL,AFG,TZK","CHN-HB,CHN-SA,CHN-GS,CHQ-OO,CHT-OO,CYP-OO,ALG-OO,EGY-OO,ETH-OO,FRA-FR,SIC-SI,LBY-OO,MOR-MO,UKR-MO,SAU-OO,TUN-OO,CAL-OO,MRY-OO,TVL-GA,AFG-OO,TZK-OO","","","",""
Trigonella glabra,established,"4,2,3","40,24,20,35,34","BAN,DJI,EGY,GST,IND,IRN,KUW,LBS,OMA,PAK,PAL,SAU,SIN,SUD,YEM","","2,3","27,35","NAM,GST,OFS,CPP","NAM-OO,GST-QA,OFS-OO,CPP-NC,CPP-WC","","","",""
Trigonella glabra subsp. glabra,established,"2,3,4","24,20,35,40,34","DJI,EGY,GST,IND,KUW,OMA,PAL,SAU,SIN,SUD,YEM","","3,7","38,75","TAI,MAS","TAI-OO,MAS-OO","","","",""
Trigonella laciniata,established,"2,3","20,35,34,24,26","ALG,EGY,SAU,SIN,SUD,ZAM","",2,26,ZAM,ZAM-OO,"","","",""
Trigonella procumbens,established,"1,3","11,13,14,33,34","AUT,BUL,GRC,HUN,KRY,NCS,ROM,RUS,TCS,TUR,TUE,UKR,YUG",",AUT-AU,UKR-UK","1,3,7","13,12,33,75","BUL,SPA,FRA,TCS,PEN","BUL-OO,SPA-SP,FRA-FR,TCS-GR,PEN-OO","","","",""
Trigonia eriosperma subsp. membranacea,established,"8,7","80,83,79","BLZ,CLM,COS,GUA,HON,MXT,MXS,NIC,PAN","",8,80,NIC,NIC-OO,"","","",""
Trigonotis peduncularis,established,"3,4,1","31,36,30,40,38,32,33,14","AMU,CHN,CHC,CHS,CTA,EHM,CHI,JAP,KAZ,KHA,KOR,KRA,CHM,NNS,NEP,NCS,PRM,RUS,CHT,TCS,UZB,WSB,CHX","",7,71,BRC,BRC-OO,"","","",""
Trillium camschatcense,established,3,"38,31,36","JAP,KAM,KHA,KOR,KUR,CHM,PRM,SAK","",1,14,RUC,RUC-OO,"","","",""
Trillium cuneatum,established,7,"78,74","ALA,GEO,ILL,KTY,MSI,NCA,SCA,TEN","",7,"78,75","MRY,MIC,PEN","MRY-OO,MIC-OO,PEN-OO","","","",""
Trillium grandiflorum,established,7,"78,75,74,72","ALA,CNT,DEL,GEO,ILL,INI,IOW,KTY,MAI,MRY,MAS,MIC,MIN,NWH,NWJ,NWY,NCA,NSC,OHI,ONT,PEN,QUE,SCA,TEN,VER,VRG,WVA,WIS","",7,"75,78","CNT,DEL,MAS","CNT-OO,DEL-OO,MAS-OO","","","",""
Trillium luteum,established,7,78,"ALA,GEO,KTY,NCA,TEN","",7,"72,78,75","ONT,WDC,MRY,MIC,PEN,VRG","ONT-OO,WDC-OO,MRY-OO,MIC-OO,PEN-OO,VRG-OO","","","",""
Trillium nivale,established,7,"74,75,78","ILL,INI,IOW,KTY,MRY,MIC,MIN,MSO,NEB,OHI,PEN,SDA,WVA,WIS","",7,75,CNT,CNT-OO,"","","",""
Trillium recurvatum,established,7,"78,74,75,77","ALA,ARK,ILL,INI,IOW,KTY,LOU,MIC,MSI,MSO,NWY,OHI,TEN,TEX,WIS","",7,75,"CNT,PEN","CNT-OO,PEN-OO","","","",""
Trimezia coerulea,invasive,8,"84,85","BZS,BZL,PAR,",",BZS-PR,BZL-RJ,BZS-SC,BZL-SP","8,2","81,23","CUB,GGI","CUB-OO,000-06",8,81,CUB,""
Trimezia martinicensis,established,8,"83,84,80,81,82","BOL,BZN,BZE,BZS,BZL,BZC,CLM,COS,HON,LEE,TRT,VEN,VNA,WIN","","4,2,6","42,29,63","2,MAU,MLY,HAW,REU","000-02,MAU-OO,MLY-PM,MLY-SI,HAW-HI,REU-OO","","","",""
Trimezia northiana,established,8,84,"BZS,BZL","","5,8,2","50,81,25","QLD,PUE,TAN","QLD-QU,PUE-OO,TAN-OO","","","",""
Trimezia steyermarkii,invasive,"8,7","83,80,79,82","CLM,COS,ELS,GUA,HON,MXG,MXT,MXS,NIC,PAN,VEN,","","8,7","81,78","CUB,PUE,FLA","CUB-OO,PUE-OO,FLA-OO",8,81,CUB,""
Triodanis holzingeri,established,7,"76,78,73,74,77","ARI,ARK,COL,KAN,MSO,NEB,OKL,TEN,TEX,WYO","",7,78,TEN,TEN-OO,"","","",""
Triodanis leptocarpa,established,7,"78,73,74,75,77","ARK,COL,ILL,INI,IOW,KAN,MIN,MSO,MNT,NEB,NDA,OKL,SDA,TEX,WYO","",7,75,INI,INI-OO,"","","",""
Triodanis perfoliata,invasive,"7,8","78,85,76,83,84,71,73,75,80,74,79,77,72","ALA,AGE,AGW,AGS,ARI,ARK,BOL,BZS,BZL,BRC,CAL,CLM,COL,CNT,COS,DEL,ECU,FLA,GEO,GUA,IDA,ILL,INI,IOW,KAN,KTY,LOU,MAI,MRY,MAS,MXI,MXC,MXG,MXE,MXN,MXS,MIC,MIN,MSI,MSO,MNT,NEB,NEV,NWH,NWJ,NWM,NWY,NCA,NDA,OHI,OKL,ONT,ORE,PAR,PEN,PER,QUE,RHO,SCA,SDA,TEN,TEX,URU,UTA,VER,VRG,WAS,WVA,WIS,WYO","","5,7,3,8","50,72,36,83,38","NSW,NBR,CHM,CHS,CLM,4,ECU","NSW-NS,NBR-OO,CHM-LN,CHS-ZJ,CHS-AH,CHS-FJ,CHS-JX,CLM-OO,000-04,ECU-OO",3,38,JAP,""
Triodanis perfoliata subsp. biflora,established,"7,8","78,85,76,83,84,74,79,77,75,73","ALA,AGE,AGW,AGS,ARI,ARK,BOL,BZS,BZL,CAL,CLM,ECU,FLA,GEO,ILL,KAN,KTY,LOU,MXI,MXE,MXN,MSI,MSO,NEB,NWM,NWY,NCA,OKL,ORE,PAR,PEN,PER,SCA,TEN,TEX,URU,VRG","","3,6,7","36,38,63,75","CHS,4,TAI,HAW,NWY,PEN","CHS-ZJ,CHS-AH,CHS-FJ,000-04,TAI-OO,HAW-HI,NWY-OO,PEN-OO","","","",""
Triphasia trifolia,invasive,4,"41,40,42,43","AND,BAN,BOR,CBD,XMS,CKI,JAW,LSI,MLY,MOL,MYA,NWG,NCB,PHI,SOL,VIE,,LAO,THA",",AND-AN,LSI-LS,MLY-PM","8,4,2,6,7","81,42,29,62,79,80,78,63,77","LEE,WIN,CKI,CUB,CAY,CGS,MRN,2,MXT,MXE,MXN,MAU,NIC,PHI,PUE,SEY,FLA,HAW,TEX,REU,ROD","LEE-AB,LEE-SM,WIN-BA,CKI-OO,CUB-OO,CAY-OO,WIN-DO,CGS-OO,WIN-GR,MRN-GU,000-02,LEE-SK,WIN-SL,MXT-CI,MXE-HI,MXN-SI,MRN-NM,LEE-MO,WIN-MA,MAU-OO,NIC-OO,PHI-OO,PUE-OO,SEY-OO,FLA-OO,HAW-HI,TEX-OO,LEE-VI,WIN-SV,LEE-BV,REU-OO,ROD-OO","2,4,8,6","29,42,81,60,62,40","REU,PHI,WIN,PUE,LEE,FIJ,MRN,CRL,MDV",",WIN-BA,LEE-VI,MRN-NM,CRL-MF"
Triphysaria pusilla,established,7,"71,76,73","BRC,CAL,ORE,WAS","",5,50,VIC,VIC-OO,"","","",""
Tripidium arundinaceum,invasive,"4,3","41,40,42,36,38,43","AND,ASS,BAN,BOR,CBD,CHN,CHC,CHS,EHM,CHH,IND,JAW,KOR,LAO,LSI,MLY,MOL,MYA,NEP,NWG,PHI,SCS,SRL,TAI,THA,CHT,VIE,WHM",",AND-AN,ASS-AS,LSI-LS",3,38,4,000-04,3,38,JAP,""
Tripidium bengalense,established,"3,4","34,40,41","AFG,BAN,IND,IRN,MYA,PAK,WHM","","8,7","81,77","PUE,TEX","PUE-OO,TEX-OO","","","",""
Tripidium ravennae,invasive,"3,1,2,4","34,13,20,40,12,24,35,32,41,33,36","AFG,ALB,ALG,ASS,BAL,BAN,BUL,CHA,COR,CYP,EAI,FRA,GRC,GST,IRN,IRQ,ITA,KAZ,KGZ,KRI,LBS,LBY,MOR,MYA,NEP,NCS,OMA,PAK,PAL,SAU,SIC,SOM,SPA,TZK,TCS,TUN,TUR,TUE,TKM,UZB,WHM,WSA,CHX,YEM,YUG",",ASS-AS,FRA-FR,ITA-IT,MOR-MO,SIC-SI,SPA-SP","3,7","33,76,73,78,74,75,77","TCS,ARI,CAL,COL,WDC,DEL,FLA,GEO,ILL,INI,KAN,KTY,MRY,MSO,MSI,NCA,NWM,NEV,OHI,OKL,TEX,UTA","TCS-GR,ARI-OO,CAL-OO,COL-OO,WDC-OO,DEL-OO,FLA-OO,GEO-OO,ILL-OO,INI-OO,KAN-OO,KTY-OO,MRY-OO,MSO-OO,MSI-OO,NCA-OO,NWM-OO,NEV-OO,OHI-OO,OKL-OO,TEX-OO,UTA-OO",7,"","",""
Triplaris americana,invasive,"8,7","83,84,79,80,82","BOL,BZN,BZS,BZL,BZC,CLM,ECU,MXT,PAN,PER,VEN,,FRG,GUY,SUR",",BZN-AC,BZN-AM,BZC-GO,BZC-MT,BZC-MS,BZL-MG,BZN-PA,BZS-PR,BZS-RS,BZN-RO,BZS-SC,BZL-SP","8,4,2","81,40,27","CUB,IND,LDV,NAT","CUB-OO,IND-AP,IND-KT,IND-KE,LDV-OO,000-09,IND-TN,NAT-OO","2,8","27,81",",CUB",""
Triplaris cumingiana,established,8,"83,80,81,82","CLM,ECU,PAN,PER,TRT,VEN","","8,4","81,41","PUE,THA","PUE-OO,THA-OO","","","",""
Triplaris weigeltiana,invasive,8,"84,83,82","BZN,CLM,ECU,FRG,GUY,PER,SUR,VEN","",6,"61,63","SCI,HAW","SCI-OO,HAW-HI",6,61,"",""
Triplasiella eragrostoides,established,"7,8","78,76,81,79,77,82","ALA,ARI,ARK,CUB,FLA,MXE,MXT,NWM,TEX,VEN","",7,"78,76,77","ALA,ARI,NWM","ALA-OO,ARI-OO,NWM-OO","","","",""
Triplasis purpurea,established,"7,8","78,73,75,80,74,79,77,72","ALA,ARK,COL,CNT,COS,DEL,FLA,GEO,HON,ILL,INI,IOW,KAN,KTY,LOU,MAI,MRY,MAS,MXT,MIC,MIN,MSI,MSO,NEB,NWH,NWJ,NWM,NWY,NCA,NDA,OHI,OKL,ONT,ORE,PEN,RHO,SCA,SDA,TEN,TEX,VRG,WIS","","8,7","80,73","NIC,ORE,WAS","NIC-OO,ORE-OO,WAS-OO","","","",""
Tripleurospermum disciforme,established,"3,4","34,32,40,33","AFG,IRN,IRQ,KAZ,KGZ,PAK,TZK,TCS,TUR,TKM,UZB,WHM","","1,3","13,32","BUL,KGZ","BUL-OO,KGZ-OO","","","",""
Tripleurospermum hookeri,established,"7,1,3","70,10,30,31,71,14,72","ASK,FIN,GNL,KRA,MAG,MAN,RUN,NWT,NOR,NUN,ONT,QUE,WSB,YAK,YUK","","3,1","31,10","MAG,SWE","MAG-OO,SWE-OO","","","",""
Tripleurospermum inodorum,invasive,"1,3,2","13,30,11,14,21,34,10,12,32,33,36","ALB,ALT,AUT,BLT,BLR,BGM,BUL,BRY,CNY,RUC,CTA,CYP,CZE,DEN,RUE,FIN,FRA,GER,GRC,HUN,IRK,ITA,KAZ,KGZ,KRA,KRY,NET,NCS,RUN,RUW,NOR,POR,ROM,SAR,RUS,SPA,SWE,SWI,TZK,TCS,TUR,TUE,TVA,UKR,UZB,WSB,CHX,YUG",",AUT-AU,BGM-BE,FRA-FR,ITA-IT,SPA-SP,UKR-UK","8,5,7,1,9,3","85,50,71,10,90,38,32,51,31,30","AGS,AGW,NSW,TAS,VIC,BRC,DEN,CRZ,GRB,4,KGZ,KOR,NOR,SVA,5,CTM,KHA,KUR,MAG,ALT,IRK,WSB,BRY,KRA,TVA,CTA,SWE,PAR,NZN,NZS,TZK","AGS-CB,AGS-NE,AGS-SC,AGS-TF,AGW-TU,NSW-NS,TAS-OO,VIC-OO,BRC-OO,DEN-OO,CRZ-OO,GRB-OO,000-04,KGZ-OO,KOR-SK,NOR-OO,SVA-OO,000-05,CTM-OO,KHA-OO,KUR-OO,MAG-OO,ALT-OO,IRK-OO,WSB-OO,BRY-OO,KRA-OO,TVA-OO,CTA-OO,SWE-OO,PAR-OO,NZN-OO,NZS-OO,TZK-OO","1,3,7","11,38","CZE,JAP","CZE-CZ,"
Tripleurospermum maritimum,established,"2,1,7","21,14,11,10,12,70","AZO,BLT,BGM,DEN,FIN,FRA,FOR,GER,GRB,GNL,HUN,ICE,IRE,NET,RUW,NOR,POL,POR,SPA,SWE",",BGM-BE,FRA-FR,IRE-IR,SPA-SP","7,8","71,72,70,85,78,76,73,75,74,77,83","ABT,BRC,LAB,MAN,NBR,NFL,NSC,NWT,NUN,ONT,PEI,QUE,SAS,YUK,CLS,GNL,ASK,ALA,CAL,COL,CNT,FLA,IOW,IDA,ILL,INI,KAN,KTY,MAS,MRY,MAI,MIC,MIN,MSO,MNT,NDA,NEB,NWH,NWJ,NWM,NEV,NWY,OHI,ORE,PEN,SDA,UTA,WAS,WIS,WYO,BOL","ABT-OO,BRC-OO,LAB-OO,MAN-OO,NBR-OO,NFL-NE,NSC-OO,NWT-OO,NUN-OO,ONT-OO,PEI-OO,QUE-OO,SAS-OO,YUK-OO,CLS-MG,GNL-OO,NFL-SP,ASK-OO,ALA-OO,CAL-OO,COL-OO,CNT-OO,FLA-OO,IOW-OO,IDA-OO,ILL-OO,INI-OO,KAN-OO,KTY-OO,MAS-OO,MRY-OO,MAI-OO,MIC-OO,MIN-OO,MSO-OO,MNT-OO,NDA-OO,NEB-OO,NWH-OO,NWJ-OO,NWM-OO,NEV-OO,NWY-OO,OHI-OO,ORE-OO,PEN-OO,SDA-OO,UTA-OO,WAS-OO,WIS-OO,WYO-OO,BOL-OO","","","",""
Tripleurospermum rosellum,established,"3,1","34,13","EAI,GRC,TUR,TUE","",3,33,TCS,TCS-AR,"","","",""
Tripleurospermum subpolare,established,"1,3","10,31,14","FIN,MAG,RUN,RUW,NOR,SWE","","3,1","31,10","MAG,SWE","MAG-OO,SWE-OO","","","",""
Tripleurospermum tenuifolium,established,"1,3","13,11,33,34","ALB,AUT,BUL,GRC,HUN,NCS,ROM,TCS,TUR,TUE,YUG",",AUT-AU",1,13,BUL,BUL-OO,"","","",""
